productId,productName,,category,website,,,flavorText,labResults,productBasePrice,gender,who_ind,ageMin,ageMax,,giftType,hobbiesInterests,tags,tags_sort,tags_display,product_card_banner
100001,Hydro Flask Water Bottle,"Hydro Flask Water Bottle,",Camping,Amazon,,,"Campers and hikers who want cold, refreshing water, or anyone who needs to sneak wine into a family reunion.","Lab Results: Hydro Flask makes a great product with these water bottles. They're trendy, useful, and have a stylish look that makes them feel a little extra special. This is the sort of gift that is great for a Secret Santa event.",33.95,null,coworker,12,120,,"essentials,interestingAndFun",camping,trendy,"trendy,outdoors","camping,trendy",
100002,PETZL - ACTIK CORE Headlamp,"PETZL - ACTIK CORE Headlamp,",Camping,Amazon,,,"Anyone looking for a reliable, hands-free light source, with some excellent features.","Lab Results: If you aren't too into camping a headlamp might seem like an unusual gift, but anyone who's ever wandered around a campsite at night knows why they regularly come up on lists of essential camping goods. The ACTIK CORE represents the higher end of what a good head lamp should offer. It's lightweight, plenty powerful, and includes a red light feature that protects your night vision. We also love the rechargeable battery, giving you the opportunity to be ready for your next trip with a quick recharge instead of a run to the store.

If all they have is a cheap lamp from their first hike or camping trip, this will feel like a big upgrade, and that makes it a great gift.

Looking for something for a first-time camper? Check out the ~~ID=“100003” text=“PETZL TIKKINA”~~ as our budget option.",69.95,null,null,12,120,,essentials,camping,upgrade,outdoors,"camping,upgrade",
100003,PETZL - TIKKINA Headlamp,"PETZL - TIKKINA Headlamp,",Camping,Amazon,,,Campers who just need a basic headlamp.,"Lab Results: The TIKKINA doesn't have all the bells and whistles of our favorite headlamp, ~~ID=“100002” text=“PETZL ACTIK CORE”~~, but it's a great starter option and one of the best values amongst small headlamps. Easy to use with only a single button controlling its low, medium, and high settings, but lacks the red light of its more robust cousin. Still, the battery life is excellent, and sometimes that's all you need from a headlamp.

We recommend this gift for someone who is new to the hiking and camping seen and might not have one already.",19.74,null,null,12,120,,essentials,camping,affordable,outdoors,"camping,affordable",
100005,Mountain Hardwear Stretch Ozonic Jacket,"Mountain Hardwear Stretch Ozonic Jacket,",Camping,Amazon,,,Anyone that’s had bad weather mess up a great trip.,"Lab Results: Serious campers know few things are as important as your rain gear. The Ozonic blends a waterproof, functional exterior with a comfy fit. ",199.97,null,null,12,120,,essentials,camping,durable,outdoors,"camping,durable",
100006,Jetboil Flash Camping Stove,"Jetboil Flash Camping Stove,",Camping,Amazon,,,"Hikers that still need that morning cup of coffee, like, immediately.","Lab Results: This thing is awesome, fun to use, and in our testing really can boil water in less than two minutes flat. Most days on our camping trips the first thing we did is fire this puppy up and treat ourselves to some instant coffee. It's the sort of item that at least one person in the group should toss into their pack, the extra 13oz is worth it.",99.95,null,null,12,120,,"essentials,interestingAndFun",camping,"practical,upgrade","practical,outdoors","camping,practical,upgrade",
100007,Wood Smoked Grill Kit,"Wood Smoked Grill Kit,",Home Chef,Amazon,,,Folks who want to experiment with smoking but have large smoker commitment issues.,"Lab Results: Let's face it, signing up for a real smoker is a major commitment, with popular models approaching $1,000. This kit allows your recipient to dip their toe in the water of all that the world of smoking has to offer. The center piece of this kit is a stainless-steel smoking tray. After loading it up with one of three types of wood chips, you just set it inside your existing grill and weight for it to impart flavor. The kit has a few other fun accessories, including smoked salt and recipe cards. Overall, the presentation is excellent, and really helps elevate the gift as a whole.",49.99,null,null,12,120,,essentials,homeChef,fun,delicious,"homeChef,fun",
100008,AeroGarden Sprout,"AeroGarden Sprout,",Home Chef,Amazon,,,People who desperately need fresh pesto year-round.,"Lab Results: Have a green thumb, but live in a high-rise apartment or have Winters that are just too cold? This is how you keep fresh herbs in the house all year round. Surprisingly easy to set up, and otherwise extremely hands off, this device is a fun, easy way to garden indoors. We've found that roughly two basil plants are enough to make sure we can have pesto every few weeks even in the Winter, and our one dill plant grows so fast we've had to get creative just to use it all.",99.95,null,null,12,120,,interestingAndFun,"homeChef,technology,gardening","creative,science",creative,"homeChef,creative,science",
100009,DASH Hot Air Popcorn Popper Maker,"DASH Hot Air Popcorn Popper Maker,",Home Chef,Amazon,,,"Folks who would rather stay home with a pause button than visit the cinema, but still crave that delicious popcorn.","Lab Results: We originally touted this gift as a nice blend of fun, function, and affordability that make it a perfect White Elephant gift, but after using it for a few years we really recommend it for any household that could use more mess free popcorn. The key is that the air popping method does not require any oil and surprisingly has a nearly perfect pop rate for your kernels. Spice up movie night with a guilt free snack.",23,null,coworker,12,120,,interestingAndFun,homeChef,efficient,"efficient,indoors","homeChef,efficient",
100010,GoWISE USA GW22921-S 8-in-1 Digital Air Fryer,"GoWISE USA GW22921-S 8-in-1 Digital Air Fryer,",Home Chef,Amazon,,,People who hate soggy leftovers and home cooks who want to prepare a meal quickly.,"Lab Results: Full disclosure, I was one of those people that thought air fryers weren't worth the investment, just another object to clutter our countertops. Mid-way through the pandemic, as we relied on takeout more and more to replace our nights out, I really came around to having one of these. Don't be fooled into thinking you'll be making delicious, healthy home fries, where these devices really shine is quickly reheating leftovers back to perfect, crispy doneness, or elevating frozen ingredients from Trader Joe's. We highly recommend it.",69.99,null,null,12,120,,essentials,homeChef,practical,"practical,indoors","homeChef,practical",
100011,SodaStream Fizzi Sparkling Water Maker,"SodaStream Fizzi Sparkling Water Maker,",Home Chef,Amazon,,,"Anyone looking to spice up their dinner parties, drink healthy, or always forget the mixers.","Lab Results: There's a surprising amount of versatility to this little device. The SodaStream folks have all sorts of recipes and flavorings to make exciting fizzy water, but don't forget how many cocktails call for a splash of soda. If you're like us, it's also just a great way to up your water intake without adding a lot of sugar and caffeine to your diet.",86.99,null,null,12,120,,"essentials,interestingAndFun","homeChef,mixology",fun,"indoors,delicious,eco-friendly","homeChef,fun,eco-friendly",
